HIP	Cst	Bayer
20995	Tau	     
20049	Men	del  
21039	Tau	     
21036	Tau	     
21082	Tau	     
21137	Tau	     
21242	Per	m    
21139	Eri	     
21060	Cae	del  
21273	Tau	rho  
21278	Eri	     
21296	Eri	     
21248	Eri	ups01
21476	Per	e    
20297	Men	nu.  
21421	Tau	alf  
21402	Tau	d    
21444	Eri	nu.  
21393	Eri	ups02
21281	Dor	alf  
21730	Cam	     
21727	Cam	     
21515	Eri	     
21588	Tau	     
21589	Tau	c01  
21547	Eri	c    
21673	Tau	sig01
21683	Tau	sig02
21594	Eri	l    
21735	Tau	     
21479	Dor	R    
21928	Per	     
21763	Eri	     
21881	Tau	tau  
21961	Tau	     
21770	Cae	alf  
21861	Cae	bet  
21986	Eri	     
      	Eri	     
22024	Eri	     
22287	Cam	     
21914	Pic	lam  
21998	Cae	lam  
22109	Eri	mu.  
22040	Dor	kap  
22263	Eri	     
22453	Aur	     
22441	Tau	     
22325	Eri	     
22280	Cae	zet  
21949	Men	mu.  
22783	Cam	alf  
22449	Ori	pi.03
22509	Ori	pi.02
22565	Tau	i    
22479	Eri	     
22678	Aur	     
22549	Ori	pi.04
22854	Cam	     
22667	Ori	omi01
22488	Cae	nu.  
22701	Eri	ome  
22730	Ori	     
22531	Pic	iot  
22534	Pic	iot  
22797	Ori	pi.05
23040	Cam	     
22833	Ori	g    
22845	Ori	pi.01
23015	Aur	iot  
22957	Ori	omi02
22881	Eri	R    
22958	Eri	b    
23068	Tau	     
23216	Cam	     
23088	Tau	k    
23179	Aur	     
23261	Aur	     
23123	Ori	pi.06
23268	Aur	     
23214	Tau	     
23522	Cam	bet  
23416	Aur	eps  
      	Lep	R    
23221	Eri	     
23231	Eri	S    
23453	Aur	zet  
23364	Eri	psi  
23497	Tau	iot  
23734	Cam	     
23743	Cam	     
22871	Men	eta  
23474	Lep	     
23783	Aur	     
23607	Ori	     
23767	Aur	eta  
23680	Ori	W    
23482	Pic	eta01
23595	Cae	gam  
23596	Cae	gam  
23685	Lep	eps  
23835	Tau	m    
23794	Eri	     
23871	Tau	l    
23900	Tau	     
23883	Tau	     
23852	Ori	     
23649	Pic	eta02
23879	Ori	i    
23875	Eri	bet  
23983	Ori	h    
23941	Eri	     
23693	Dor	zet  
24010	Ori	     
23467	Men	bet  
24348	Cam	     
23972	Eri	lam  
24340	Aur	mu.  
24244	Lep	iot  
24331	Ori	rho  
24305	Lep	mu.  
24327	Lep	kap  
24504	Aur	     
      	Aur	     
24608	Aur	alf  
24512	Tau	     
24575	Aur	AE   
24436	Ori	bet  
23148	Men	ksi  
24555	Ori	     
24836	Cam	     
24727	Aur	     
24740	Aur	AR   
24813	Aur	lam  
24832	Aur	     
24674	Ori	tau  
24822	Tau	n    
24879	Aur	     
24659	Col	omi  
24372	Dor	the  
24817	Ori	     
25048	Aur	rho  
25197	Cam	     
24845	Lep	lam  
24873	Lep	nu.  
25044	Ori	o    
24829	Pic	zet  
25192	Aur	     
25145	Ori	m    
25142	Ori	m    
25292	Aur	sig  
25216	Tau	     
25278	Tau	     
25202	Lep	     
25247	Ori	e    
25282	Ori	p    
25281	Ori	eta  
25302	Ori	     
25336	Ori	gam  
25428	Tau	bet  
25410	Tau	     
25098	Pic	kap  
25769	Cam	     
25541	Aur	phi  
25499	Tau	     
25539	Tau	o    
25473	Ori	psi  
25555	Tau	     
25583	Tau	     
25303	Pic	the  
25695	Tau	     
25973	Cam	     
25606	Lep	bet  
25737	Ori	     
25429	Dor	lam  
25785	Ori	CK   
25813	Ori	A    
25861	Ori	n01  
25984	Aur	chi  
25945	Tau	CE   
25853	Lep	     
      	Ori	del  
25930	Ori	del  
25923	Ori	ups  
26408	Cam	     
26064	Tau	     
25859	Col	eps  
26093	Ori	     
25985	Lep	alf  
26063	Ori	VV   
26126	Ori	n02  
26248	Tau	     
26176	Ori	phi01
26207	Ori	lam  
      	Ori	lam  
26237	Ori	c    
26220	Ori	the01
      	Ori	the01
26221	Ori	the01
26224	Ori	the01
26235	Ori	the02
26241	Ori	iot  
26587	Cam	     
26268	Ori	     
26311	Ori	eps  
26382	Tau	     
26366	Ori	phi02
26451	Tau	zet  
26536	Aur	     
26001	Dor	     
26069	Dor	bet  
26412	Col	nu.01
26640	Tau	     
26549	Ori	sig  
      	Ori	sig  
26594	Ori	ome  
26460	Col	nu.02
26563	Ori	d    
26942	Cam	     
27046	Cam	     
26777	Tau	     
26727	Ori	zet  
      	Ori	zet  
25918	Men	gam  
26634	Col	alf  
26885	Ori	b    
26865	Lep	     
27249	Cam	     
27196	Aur	omi  
27283	Cam	     
      	Lep	gam  
27072	Lep	gam  
27265	Tau	     
27316	Tau	     
27338	Tau	     
26264	Men	iot  
27592	Cam	     
27364	Tau	     
27483	Aur	tau  
27204	Col	mu.  
27288	Lep	zet  
27386	Ori	     
27468	Tau	     
27366	Ori	kap  
27731	Cam	     
27511	Tau	     
27639	Aur	ups  
27673	Aur	nu.  
27100	Dor	del  
27581	Tau	     
27321	Pic	bet  
26394	Men	pi.  
27971	Cam	     
27949	Aur	ksi  
27658	Ori	     
27743	Tau	     
27830	Tau	     
27654	Lep	del  
27750	Ori	     
27628	Col	bet  
27530	Pic	gam  
27913	Ori	chi01
27965	Ori	     
27810	Col	lam  
25776	Men	     
27989	Ori	alf  
27369	Men	lam  
      	Ori	U    
27534	Dor	eps  
28358	Aur	del  
28237	Tau	     
28103	Lep	eta  
28010	Col	ksi  
28360	Aur	bet  
28404	Aur	pi.  
28098	Col	sig  
28380	Aur	the  
28271	Ori	     
28499	Aur	     
27890	Dor	     
28296	Ori	     
28199	Col	gam  
28321	Mon	     
28325	Mon	     
28561	Tau	     
28677	Aur	     
28328	Col	eta  
28765	Cam	     
28614	Ori	mu.  
27566	Men	kap  
28574	Mon	     
28691	Ori	     
28823	Aur	     
28734	Gem	     
28716	Ori	chi02
28946	Aur	     
28812	Ori	     
28814	Ori	     
28816	Lep	     
28756	Col	     
28969	Gem	     
29246	Cam	     
28910	Lep	the  
28874	Lep	S    
29038	Ori	nu.  
29490	Cam	     
29048	Lep	     
28957	Col	pi.01
29225	Gem	     
29388	Aur	     
      	Aur	     
29034	Col	the  
29288	Gem	     
29064	Col	pi.02
29379	Gem	     
29433	Ori	     
28909	Dor	eta01
